city_type,query,page,image_url,title,tags,local_path
desert_city,desert city architecture sand city,1,https://live.staticflickr.com/8472/8105498538_cb391a2b07_c.jpg,desert.city,road street urban signs skyscraper sand cityscape skyscrapers desert metro towers uae emirates dubaimarina sheikhzayedroad vae buildinglot megacity jumeirahlaketowers,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\desert_city\desert_city_0.jpg
desert_city,desert city architecture sand city,1,https://live.staticflickr.com/6158/6186017968_b6414021a0_c.jpg,Where the streets have no name..,old city travel panorama india house building brick tower monument beautiful yellow architecture outside golden town sand ancient sandstone asia cityscape place desert fort outdoor stones indian famous royal landmark palace journey massive empire vista destination historical strong fortification fortress defense turrets jaisalmer thar rajasthan haveli lateafternoonsun goldencity famousplace jaisalmerfort jaislamer yellowcity thegoldencity areyarey yellowsandstone yellowishsandstone,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\desert_city\desert_city_1.jpg
desert_city,desert city architecture sand city,1,https://live.staticflickr.com/8524/8632033539_0e2dfc1ef7_c.jpg,Dubai Marina,blue sky urban panorama water skyline architecture night marina canon eos abend sand wasser cityscape desert nacht himmel architektur blau walimex dubaimarina wüste vae vereinigtearabischeemirate 14mm28 5dmkii,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\desert_city\desert_city_2.jpg
desert_city,desert city architecture sand city,1,https://live.staticflickr.com/7429/10749910896_d44fbeb5ba_c.jpg,,light urban architecture canon eos licht sand cityscape desert nacht uae khalifa architektur 1740mm wüste burj skysraper vae vereinigtearabischeemirate 1740mm4l businessbay 5dmkii blockhäuser burjkhalifa dubaidowntown,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\desert_city\desert_city_3.jpg
desert_city,desert city architecture sand city,1,https://live.staticflickr.com/5146/5691799788_1894ce149b_c.jpg,A City By Day Just Isn’t the Same,seattle county city tower beautiful weather skyline skyscraper buildings tia square real anne washington office spring downtown king day cityscape estate pacific northwest district space centre smith center columbia aerial queen neighborhood international needle sound april daytime pioneer puget tosin springtime sodo wamu mutual arasi visipix tiascapes ©tiainternationalphotography,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\desert_city\desert_city_4.jpg
desert_city,desert city architecture sand city,1,https://live.staticflickr.com/2822/11344089416_f90f70ee1f_c.jpg,Jaisalmer IND - Golden City of India 02,canon dslr eos hdr hdri spiegelreflexkamera slr monochrom monochrome monochromephotography indien india inde индия भारतगणराज्य historic geschichte travel reise reisen rayastán rajasthan раджастхан गणरा rejse viaje voyage viaggio reis путешествие podróż 여행 מסע यात्रा 旅行,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\desert_city\desert_city_5.jpg
desert_city,desert city architecture sand city,1,https://live.staticflickr.com/3504/4029133115_292d056998_c.jpg,Kuwait Fishing Boats,sea boats boat photo nikon cityscape gulf outdoor middleeast arab canon5d kuwait d3 gcc kuwaitcity kuwaiti q8 saleh غروب kuwaity alkuwait صورة الخليج صوره تصوير 2470 الكويت gnd كويت صالح شروق kuwaitdesert kowait citynightshot stateofkuwait العربي leefilters kuwaitphoto الرشيد مدينةالكويت alrashaid salehalrashaid salehphotographynet صالحالرشيد kuwaitsanddunes,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\desert_city\desert_city_6.jpg
desert_city,desert city architecture sand city,1,https://live.staticflickr.com/3754/10090489364_a28892eea8_c.jpg,dubai marina,blue sky urban water skyline architecture marina canon eos sand wasser dubai cityscape desert himmel architektur blau 1740mm dubaimarina wüste vae vereinigtearabischeemirate 1740mm4l 5dmkii,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\desert_city\desert_city_7.jpg
desert_city,desert city architecture sand city,1,https://live.staticflickr.com/7015/6645899673_5867afbc1a_c.jpg,Dubai (30),sea holiday beach strand island austria österreich sand meer dubai desert urlaub uae ferrari mosque palm insel emirates camel khalifa abudhabi arab armin burjalarab abu dhabi palme silvester unitedarabemirates thepalm sheik kamel gettyimages wüste 2012 jumeirah vae scheich 2011 burjdubai ferrariworld vereinigtearabischeemirate mosche rodler wasserpark burjkhalifa arminrodler rodlerarmin,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\desert_city\desert_city_8.jpg
desert_city,desert city architecture sand city,1,https://live.staticflickr.com/7031/6645885171_112d0d0100_c.jpg,Dubai (22),sea holiday beach strand island austria österreich sand meer dubai desert urlaub uae ferrari mosque palm insel emirates camel khalifa abudhabi arab armin burjalarab abu dhabi palme silvester unitedarabemirates thepalm sheik kamel gettyimages wüste 2012 jumeirah vae scheich 2011 burjdubai ferrariworld vereinigtearabischeemirate mosche rodler wasserpark burjkhalifa arminrodler rodlerarmin,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\desert_city\desert_city_9.jpg
